,source_origin,source,source_attr,source_color,source_count,target_origin,target,target_attr,target_color,target_count,edge_weight
70,"('ガス発生剤', '原因')",ガス発生剤,原因,red,20,"('代替品', '対策')",代替品,対策,blue,20,2
71,"('ガス発生剤', '原因')",ガス発生剤,原因,red,20,"('案内', '対策')",案内,対策,blue,20,2
72,"('ガス発生剤', '原因')",ガス発生剤,原因,red,20,"('準備', '対策')",準備,対策,blue,20,1
73,"('ガス発生剤', '原因')",ガス発生剤,原因,red,20,"('エアバック装置（インフレーター）', '不具合の部位')",エアバック装置（インフレーター）,不具合の部位,gray,10,1
74,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,2
75,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('運転者席用エアバッグ', '原因')",運転者席用エアバッグ,原因,red,20,2
76,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('繰返し', '原因')",繰返し,原因,red,20,2
77,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('部品交換', '対策')",部品交換,対策,blue,20,2
78,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('代替品', '対策')",代替品,対策,blue,20,2
79,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('案内', '対策')",案内,対策,blue,20,2
80,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('準備', '対策')",準備,対策,blue,20,1
81,"('吸湿防止', '原因')",吸湿防止,原因,red,20,"('エアバック装置（インフレーター）', '不具合の部位')",エアバック装置（インフレーター）,不具合の部位,gray,10,1
82,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('運転者席用エアバッグ', '原因')",運転者席用エアバッグ,原因,red,20,2
83,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('繰返し', '原因')",繰返し,原因,red,20,2
84,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('部品交換', '対策')",部品交換,対策,blue,20,2
85,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('代替品', '対策')",代替品,対策,blue,20,2
86,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('案内', '対策')",案内,対策,blue,20,2
87,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('準備', '対策')",準備,対策,blue,20,1
88,"('エアバッグ作動時', '原因')",エアバッグ作動時,原因,red,20,"('エアバック装置（インフレーター）', '不具合の部位')",エアバック装置（インフレーター）,不具合の部位,gray,10,1
89,"('運転者席用エアバッグ', '原因')",運転者席用エアバッグ,原因,red,20,"('繰返し', '原因')",繰返し,原因,red,20,2
